Condition;Displacement Level;Answer;Time stamp
Change Blindness;0;No;11/27/2020 4:33:52 PM
Change Blindness;0.06;No;11/27/2020 4:33:59 PM
Change Blindness;0;Yes;11/27/2020 4:34:06 PM
Change Blindness;0.06;Yes;11/27/2020 4:34:13 PM
Change Blindness;0.12;No;11/27/2020 4:34:25 PM
Change Blindness;0.15;Yes;11/27/2020 4:34:31 PM
Change Blindness;0.09000003;No;11/27/2020 4:34:39 PM
Change Blindness;0.08999997;Yes;11/27/2020 4:34:45 PM
Change Blindness;0.09;No;11/27/2020 4:34:52 PM
Change Blindness;0.08999999;No;11/27/2020 4:35:01 PM
Change Blindness;0.03;Yes;11/27/2020 4:35:09 PM
Change Blindness;0.15;No;11/27/2020 4:35:18 PM
Change Blindness;0;Yes;11/27/2020 4:35:33 PM
Change Blindness;0;No;11/27/2020 4:35:40 PM
Change Blindness;0.03;No;11/27/2020 4:35:47 PM
Change Blindness;0.02999997;No;11/27/2020 4:35:54 PM
Change Blindness;0.06;Yes;11/27/2020 4:36:04 PM
Change Blindness;0.06;No;11/27/2020 4:36:13 PM
Change Blindness;0.15;No;11/27/2020 4:36:24 PM
Change Blindness;0.02999997;Yes;11/27/2020 4:36:31 PM
Change Blindness;0.15;No;11/27/2020 4:36:39 PM
Change Blindness;0.12;Yes;11/27/2020 4:36:57 PM
Change Blindness;0.12;Yes;11/27/2020 4:37:03 PM
Change Blindness;0.1199999;Yes;11/27/2020 4:37:08 PM
