Condition;Displacement Level;Answer;Time stamp
Change Blindness;0.06;No;11/27/2020 2:43:06 PM
Change Blindness;0.15;No;11/27/2020 2:43:18 PM
Change Blindness;0.12;Yes;11/27/2020 2:43:30 PM
Change Blindness;0.03000003;Yes;11/27/2020 2:43:42 PM
Change Blindness;0.09;No;11/27/2020 2:43:52 PM
Change Blindness;0;No;11/27/2020 2:43:59 PM
Change Blindness;0.12;Yes;11/27/2020 2:44:10 PM
Change Blindness;0.06;Yes;11/27/2020 2:44:22 PM
Change Blindness;0.12;Yes;11/27/2020 2:44:30 PM
Change Blindness;0;No;11/27/2020 2:44:37 PM
Change Blindness;0.09;No;11/27/2020 2:44:45 PM
Change Blindness;0.06;No;11/27/2020 2:44:52 PM
Change Blindness;0.15;Yes;11/27/2020 2:45:00 PM
Change Blindness;0.02999999;No;11/27/2020 2:45:08 PM
Change Blindness;0.03;No;11/27/2020 2:45:16 PM
Change Blindness;0.15;Yes;11/27/2020 2:45:23 PM
Change Blindness;0.09000006;No;11/27/2020 2:45:31 PM
Change Blindness;0.15;Yes;11/27/2020 2:45:41 PM
Change Blindness;0.12;Yes;11/27/2020 2:45:48 PM
Change Blindness;0.06000003;No;11/27/2020 2:45:57 PM
Change Blindness;0.08999997;Yes;11/27/2020 2:46:06 PM
Change Blindness;0.02999997;No;11/27/2020 2:46:12 PM
Change Blindness;0;No;11/27/2020 2:46:21 PM
Change Blindness;0;No;11/27/2020 2:46:27 PM
