Condition;Displacement Level;Answer;Time stamp
Change Blindness;0;No;11/27/2020 4:46:32 PM
Change Blindness;0.03000003;No;11/27/2020 4:47:03 PM
Change Blindness;0.08999997;Yes;11/27/2020 4:47:16 PM
Change Blindness;0.06;Yes;11/27/2020 4:47:36 PM
Change Blindness;0.06;Yes;11/27/2020 4:47:50 PM
Change Blindness;0.12;No;11/27/2020 4:48:04 PM
Change Blindness;0.03;Yes;11/27/2020 4:48:08 PM
Change Blindness;0.15;Yes;11/27/2020 4:48:18 PM
Change Blindness;0.1199999;No;11/27/2020 4:48:31 PM
Change Blindness;0.09;No;11/27/2020 4:48:36 PM
Change Blindness;0.12;Yes;11/27/2020 4:48:45 PM
Change Blindness;0.15;No;11/27/2020 4:48:52 PM
Change Blindness;0;Yes;11/27/2020 4:48:57 PM
Change Blindness;0.03;Yes;11/27/2020 4:49:06 PM
Change Blindness;0.06;No;11/27/2020 4:49:17 PM
Change Blindness;0.09;Yes;11/27/2020 4:49:31 PM
Change Blindness;0.05999994;Yes;11/27/2020 4:49:47 PM
Change Blindness;0.15;Yes;11/27/2020 4:49:58 PM
Change Blindness;0.02999997;Yes;11/27/2020 4:50:03 PM
Change Blindness;0.09000002;Yes;11/27/2020 4:50:11 PM
Change Blindness;0;No;11/27/2020 4:50:15 PM
Change Blindness;0;Yes;11/27/2020 4:50:24 PM
Change Blindness;0.12;Yes;11/27/2020 4:50:29 PM
Change Blindness;0.15;No;11/27/2020 4:50:34 PM
