Condition;Displacement Level;Answer;Time stamp
Change Blindness;0.1800001;No;11/25/2020 1:45:20 PM
Change Blindness;0.1799999;Yes;11/25/2020 1:45:31 PM
Change Blindness;0.05999999;Yes;11/25/2020 1:45:45 PM
Change Blindness;0.24;Yes;11/25/2020 1:45:59 PM
Change Blindness;0.18;No;11/25/2020 1:46:08 PM
Change Blindness;0.06;No;11/25/2020 1:46:17 PM
Change Blindness;0.24;No;11/25/2020 1:46:22 PM
Change Blindness;0.24;No;11/25/2020 1:46:31 PM
Change Blindness;0.3000001;No;11/25/2020 1:46:36 PM
Change Blindness;2.503395E-06;No;11/25/2020 1:46:40 PM
Change Blindness;0.3;No;11/25/2020 1:46:43 PM
Change Blindness;0.24;No;11/25/2020 1:46:48 PM
Change Blindness;0.05999994;Yes;11/25/2020 1:46:52 PM
Change Blindness;0.12;No;11/25/2020 1:46:57 PM
Change Blindness;0.06;No;11/25/2020 1:47:03 PM
Change Blindness;0.12;No;11/25/2020 1:47:07 PM
Change Blindness;0.3000001;No;11/25/2020 1:47:12 PM
Change Blindness;8.940697E-07;No;11/25/2020 1:47:18 PM
Change Blindness;1.138449E-05;No;11/25/2020 1:47:22 PM
Change Blindness;0.12;No;11/25/2020 1:47:27 PM
Change Blindness;0.12;No;11/25/2020 1:47:32 PM
Change Blindness;0.3;No;11/25/2020 1:47:36 PM
Change Blindness;0.18;No;11/25/2020 1:47:39 PM
Change Blindness;1.430511E-06;No;11/25/2020 1:47:44 PM
