Condition;Displacement Level;Answer;Time stamp
Change Blindness;0.09;No;10/26/2021 3:50:17 PM
Change Blindness;0;No;10/26/2021 3:50:46 PM
Change Blindness;0;Yes;10/26/2021 3:51:13 PM
Change Blindness;0.08999997;Yes;10/26/2021 3:51:30 PM
Change Blindness;0.15;No;10/26/2021 3:51:47 PM
Change Blindness;0.06000003;No;10/26/2021 3:51:57 PM
Change Blindness;0.15;Yes;10/26/2021 3:52:19 PM
Change Blindness;0.09000003;Yes;10/26/2021 3:52:30 PM
Change Blindness;0.02999997;Yes;10/26/2021 3:52:42 PM
Change Blindness;0.15;Yes;10/26/2021 3:53:19 PM
Change Blindness;0.03;Yes;10/26/2021 3:53:30 PM
Change Blindness;0.03;No;10/26/2021 3:53:54 PM
Change Blindness;0.06;Yes;10/26/2021 3:54:02 PM
Change Blindness;0.03000003;No;10/26/2021 3:54:16 PM
Change Blindness;0.12;Yes;10/26/2021 3:54:24 PM
Change Blindness;0.06;Yes;10/26/2021 3:54:33 PM
Change Blindness;0;Yes;10/26/2021 3:54:42 PM
Change Blindness;0.06;Yes;10/26/2021 3:54:54 PM
Change Blindness;0.12;Yes;10/26/2021 3:55:00 PM
Change Blindness;0.09;Yes;10/26/2021 3:55:09 PM
Change Blindness;0.12;Yes;10/26/2021 3:55:19 PM
Change Blindness;0;No;10/26/2021 3:55:28 PM
Change Blindness;0.15;Yes;10/26/2021 3:55:37 PM
Change Blindness;0.12;Yes;10/26/2021 3:55:45 PM
