Condition;Displacement Level;Answer;Time stamp
Change Blindness;0.03;No;8/26/2021 8:04:38 PM
Change Blindness;0;No;8/26/2021 8:04:49 PM
Change Blindness;0.12;No;8/26/2021 8:04:58 PM
Change Blindness;0.15;No;8/26/2021 8:05:09 PM
Change Blindness;0.03;No;8/26/2021 8:05:21 PM
Change Blindness;0.06000003;No;8/26/2021 8:05:35 PM
Change Blindness;0.02999997;Yes;8/26/2021 8:05:52 PM
Change Blindness;0.09;No;8/26/2021 8:06:08 PM
Change Blindness;0.15;Yes;8/26/2021 8:06:24 PM
Change Blindness;0.12;Yes;8/26/2021 8:06:35 PM
Change Blindness;0.15;No;8/26/2021 8:06:48 PM
Change Blindness;0;Yes;8/26/2021 8:06:57 PM
Change Blindness;0.06;No;8/26/2021 8:07:08 PM
Change Blindness;0.15;Yes;8/26/2021 8:07:23 PM
Change Blindness;0.03000003;No;8/26/2021 8:07:33 PM
Change Blindness;0.06;Yes;8/26/2021 8:07:45 PM
Change Blindness;0.05999994;No;8/26/2021 8:08:00 PM
Change Blindness;0.1199999;No;8/26/2021 8:08:10 PM
Change Blindness;0;Yes;8/26/2021 8:08:18 PM
Change Blindness;0.12;Yes;8/26/2021 8:08:27 PM
Change Blindness;0.08999991;Yes;8/26/2021 8:08:36 PM
Change Blindness;0.09000003;Yes;8/26/2021 8:08:44 PM
Change Blindness;0.09;Yes;8/26/2021 8:08:53 PM
Change Blindness;0;No;8/26/2021 8:09:01 PM
