Condition;Displacement Level;Answer;Time stamp
Change Blindness;0.15;Yes;10/24/2021 4:03:41 PM
Change Blindness;0.03;No;10/24/2021 4:03:51 PM
Change Blindness;0;No;10/24/2021 4:04:08 PM
Change Blindness;0.09;Yes;10/24/2021 4:04:21 PM
Change Blindness;0.06;No;10/24/2021 4:04:52 PM
Change Blindness;0.03;No;10/24/2021 4:05:03 PM
Change Blindness;0.09;Yes;10/24/2021 4:05:19 PM
Change Blindness;0.03000003;No;10/24/2021 4:05:51 PM
Change Blindness;0.15;Yes;10/24/2021 4:06:20 PM
Change Blindness;0.09000003;Yes;10/24/2021 4:06:42 PM
Change Blindness;0.12;Yes;10/24/2021 4:06:57 PM
Change Blindness;0.15;Yes;10/24/2021 4:07:11 PM
Change Blindness;0.05999997;No;10/24/2021 4:07:23 PM
Change Blindness;0.12;Yes;10/24/2021 4:07:32 PM
Change Blindness;0;No;10/24/2021 4:07:45 PM
Change Blindness;0.12;Yes;10/24/2021 4:07:54 PM
Change Blindness;0.15;Yes;10/24/2021 4:08:05 PM
Change Blindness;0;No;10/24/2021 4:08:15 PM
Change Blindness;0;No;10/24/2021 4:08:25 PM
Change Blindness;0.02999997;No;10/24/2021 4:08:34 PM
Change Blindness;0.06;No;10/24/2021 4:08:44 PM
Change Blindness;0.12;Yes;10/24/2021 4:08:54 PM
Change Blindness;0.06;Yes;10/24/2021 4:09:09 PM
Change Blindness;0.08999997;No;10/24/2021 4:09:21 PM
