Condition;Displacement Level;Answer;Time stamp
Change Blindness;0.02999997;No;9/28/2021 3:44:07 PM
Change Blindness;0.12;No;9/28/2021 3:44:28 PM
Change Blindness;0.06;Yes;9/28/2021 3:44:46 PM
Change Blindness;0;No;9/28/2021 3:45:00 PM
Change Blindness;0.09;Yes;9/28/2021 3:45:16 PM
Change Blindness;0;Yes;9/28/2021 3:45:44 PM
Change Blindness;0.06;Yes;9/28/2021 3:45:55 PM
Change Blindness;0;No;9/28/2021 3:46:10 PM
Change Blindness;0;No;9/28/2021 3:46:18 PM
Change Blindness;0.03;Yes;9/28/2021 3:46:31 PM
Change Blindness;0.09;Yes;9/28/2021 3:46:38 PM
Change Blindness;0.15;Yes;9/28/2021 3:46:51 PM
Change Blindness;0.03000003;No;9/28/2021 3:47:08 PM
Change Blindness;0.03;Yes;9/28/2021 3:47:17 PM
Change Blindness;0.15;Yes;9/28/2021 3:47:25 PM
Change Blindness;0.12;Yes;9/28/2021 3:47:40 PM
Change Blindness;0.1199999;Yes;9/28/2021 3:47:48 PM
Change Blindness;0.12;Yes;9/28/2021 3:47:54 PM
Change Blindness;0.08999991;Yes;9/28/2021 3:48:01 PM
Change Blindness;0.09000003;No;9/28/2021 3:48:10 PM
Change Blindness;0.06;Yes;9/28/2021 3:48:19 PM
Change Blindness;0.15;Yes;9/28/2021 3:48:27 PM
Change Blindness;0.15;Yes;9/28/2021 3:48:34 PM
Change Blindness;0.05999994;Yes;9/28/2021 3:48:41 PM
