Condition;Displacement Level;Answer;Time stamp
Change Blindness;0;Yes;9/28/2021 3:57:16 PM
Change Blindness;0;Yes;9/28/2021 3:57:37 PM
Change Blindness;0.12;No;9/28/2021 3:57:52 PM
Change Blindness;0.06;No;9/28/2021 3:58:01 PM
Change Blindness;0;No;9/28/2021 3:58:11 PM
Change Blindness;0;Yes;9/28/2021 3:58:21 PM
Change Blindness;0.09;No;9/28/2021 3:58:33 PM
Change Blindness;0.09000003;No;9/28/2021 3:58:42 PM
Change Blindness;0.06;No;9/28/2021 3:58:56 PM
Change Blindness;0.15;No;9/28/2021 3:59:07 PM
Change Blindness;0.06;Yes;9/28/2021 3:59:36 PM
Change Blindness;0.15;No;9/28/2021 3:59:45 PM
Change Blindness;0.12;Yes;9/28/2021 3:59:53 PM
Change Blindness;0.06;Yes;9/28/2021 4:00:02 PM
Change Blindness;0.03;Yes;9/28/2021 4:00:11 PM
Change Blindness;0.12;No;9/28/2021 4:00:19 PM
Change Blindness;0.12;No;9/28/2021 4:00:31 PM
Change Blindness;0.03;Yes;9/28/2021 4:00:37 PM
Change Blindness;0.02999997;Yes;9/28/2021 4:00:45 PM
Change Blindness;0.09;Yes;9/28/2021 4:00:54 PM
Change Blindness;0.08999997;Yes;9/28/2021 4:01:04 PM
Change Blindness;0.03000003;Yes;9/28/2021 4:01:14 PM
Change Blindness;0.15;No;9/28/2021 4:01:23 PM
Change Blindness;0.15;No;9/28/2021 4:01:30 PM
