Condition;Displacement Level;Answer;Time stamp
Change Blindness;0.12;No;12/1/2020 1:39:49 PM
Change Blindness;0.03;No;12/1/2020 1:40:04 PM
Change Blindness;0.15;No;12/1/2020 1:40:26 PM
Change Blindness;0.09000003;Yes;12/1/2020 1:40:40 PM
Change Blindness;0.12;Yes;12/1/2020 1:40:58 PM
Change Blindness;0;Yes;12/1/2020 1:41:26 PM
Change Blindness;0.06;No;12/1/2020 1:41:39 PM
Change Blindness;0.09;Yes;12/1/2020 1:41:49 PM
Change Blindness;0.06;Yes;12/1/2020 1:41:58 PM
Change Blindness;0.15;Yes;12/1/2020 1:42:06 PM
Change Blindness;0.02999997;Yes;12/1/2020 1:42:16 PM
Change Blindness;0.05999997;No;12/1/2020 1:42:25 PM
Change Blindness;0;No;12/1/2020 1:42:34 PM
Change Blindness;0.08999997;Yes;12/1/2020 1:42:45 PM
Change Blindness;0.15;No;12/1/2020 1:43:00 PM
Change Blindness;0.03;No;12/1/2020 1:43:14 PM
Change Blindness;0.12;Yes;12/1/2020 1:43:25 PM
Change Blindness;0;Yes;12/1/2020 1:43:38 PM
Change Blindness;0.12;Yes;12/1/2020 1:43:47 PM
Change Blindness;0.15;No;12/1/2020 1:43:54 PM
Change Blindness;0.03000003;Yes;12/1/2020 1:44:11 PM
Change Blindness;0.06;No;12/1/2020 1:44:29 PM
Change Blindness;0;No;12/1/2020 1:44:48 PM
Change Blindness;0.09;No;12/1/2020 1:45:00 PM
