Condition;Displacement Level;Answer;Time stamp
Change Blindness;0.06;No;12/2/2020 11:58:13 AM
Change Blindness;0;No;12/2/2020 11:58:34 AM
Change Blindness;0.09000003;Yes;12/2/2020 11:58:56 AM
Change Blindness;0.06;Yes;12/2/2020 11:59:05 AM
Change Blindness;0.12;No;12/2/2020 11:59:15 AM
Change Blindness;0.03;No;12/2/2020 11:59:22 AM
Change Blindness;0.12;Yes;12/2/2020 11:59:29 AM
Change Blindness;0.09;Yes;12/2/2020 11:59:37 AM
Change Blindness;0.12;Yes;12/2/2020 11:59:42 AM
Change Blindness;0.03;No;12/2/2020 11:59:49 AM
Change Blindness;0.12;No;12/2/2020 11:59:55 AM
Change Blindness;0;No;12/2/2020 12:00:01 PM
Change Blindness;0.15;Yes;12/2/2020 12:00:07 PM
Change Blindness;0.03000003;Yes;12/2/2020 12:00:17 PM
Change Blindness;0.08999991;No;12/2/2020 12:00:25 PM
Change Blindness;0.15;Yes;12/2/2020 12:00:31 PM
Change Blindness;0.09;Yes;12/2/2020 12:00:41 PM
Change Blindness;0.15;Yes;12/2/2020 12:00:49 PM
Change Blindness;0.02999997;No;12/2/2020 12:00:55 PM
Change Blindness;0;No;12/2/2020 12:01:00 PM
Change Blindness;0.05999997;No;12/2/2020 12:01:07 PM
Change Blindness;0;No;12/2/2020 12:01:13 PM
Change Blindness;0.06;No;12/2/2020 12:01:18 PM
Change Blindness;0.15;Yes;12/2/2020 12:01:24 PM
