Condition;Displacement Level;Answer;Time stamp
Change Blindness;0.15;Yes;11/27/2020 4:07:17 PM
Change Blindness;0.09000003;Yes;11/27/2020 4:07:24 PM
Change Blindness;0.15;Yes;11/27/2020 4:07:36 PM
Change Blindness;0;No;11/27/2020 4:07:45 PM
Change Blindness;0.09;No;11/27/2020 4:07:54 PM
Change Blindness;0.03;Yes;11/27/2020 4:08:00 PM
Change Blindness;0.06;Yes;11/27/2020 4:08:08 PM
Change Blindness;0;No;11/27/2020 4:08:15 PM
Change Blindness;0.12;Yes;11/27/2020 4:08:28 PM
Change Blindness;0.03;No;11/27/2020 4:08:39 PM
Change Blindness;0.05999997;No;11/27/2020 4:08:51 PM
Change Blindness;0.03000003;No;11/27/2020 4:08:59 PM
Change Blindness;0.15;Yes;11/27/2020 4:09:05 PM
Change Blindness;0.12;Yes;11/27/2020 4:09:14 PM
Change Blindness;0;No;11/27/2020 4:09:23 PM
Change Blindness;0.12;Yes;11/27/2020 4:09:27 PM
Change Blindness;0.12;No;11/27/2020 4:09:38 PM
Change Blindness;0.02999997;Yes;11/27/2020 4:09:46 PM
Change Blindness;0.15;Yes;11/27/2020 4:09:52 PM
Change Blindness;0.09;No;11/27/2020 4:09:57 PM
Change Blindness;0.06;Yes;11/27/2020 4:10:07 PM
Change Blindness;0.06;Yes;11/27/2020 4:10:15 PM
Change Blindness;0.08999997;No;11/27/2020 4:10:22 PM
Change Blindness;0;No;11/27/2020 4:10:28 PM
