Condition;Displacement Level;Answer;Time stamp
Change Blindness;0;No;12/2/2020 10:43:44 AM
Change Blindness;0.06;No;12/2/2020 10:43:57 AM
Change Blindness;0.06;Yes;12/2/2020 10:44:06 AM
Change Blindness;0.12;No;12/2/2020 10:44:18 AM
Change Blindness;0;No;12/2/2020 10:44:32 AM
Change Blindness;0.12;Yes;12/2/2020 10:44:38 AM
Change Blindness;0.03;No;12/2/2020 10:44:45 AM
Change Blindness;0.15;Yes;12/2/2020 10:44:52 AM
Change Blindness;0.15;Yes;12/2/2020 10:45:03 AM
Change Blindness;0;No;12/2/2020 10:45:15 AM
Change Blindness;0;Yes;12/2/2020 10:45:31 AM
Change Blindness;0.09000003;Yes;12/2/2020 10:45:45 AM
Change Blindness;0.09;Yes;12/2/2020 10:45:53 AM
Change Blindness;0.15;No;12/2/2020 10:46:06 AM
Change Blindness;0.02999997;Yes;12/2/2020 10:46:12 AM
Change Blindness;0.12;No;12/2/2020 10:46:21 AM
Change Blindness;0.12;Yes;12/2/2020 10:46:30 AM
Change Blindness;0.09;No;12/2/2020 10:46:41 AM
Change Blindness;0.08999997;No;12/2/2020 10:46:50 AM
Change Blindness;0.06;Yes;12/2/2020 10:47:00 AM
Change Blindness;0.15;Yes;12/2/2020 10:47:08 AM
Change Blindness;0.03000003;No;12/2/2020 10:47:19 AM
Change Blindness;0.06;Yes;12/2/2020 10:47:34 AM
Change Blindness;0.03;Yes;12/2/2020 10:47:42 AM
