Condition;Displacement Level;Answer;Time stamp
Change Blindness;0;No;11/27/2020 3:45:17 PM
Change Blindness;0.06;No;11/27/2020 3:45:25 PM
Change Blindness;0.15;No;11/27/2020 3:45:32 PM
Change Blindness;0.12;No;11/27/2020 3:45:40 PM
Change Blindness;0.15;No;11/27/2020 3:45:47 PM
Change Blindness;0.03000003;Yes;11/27/2020 3:45:56 PM
Change Blindness;0.12;No;11/27/2020 3:46:02 PM
Change Blindness;0.15;Yes;11/27/2020 3:46:11 PM
Change Blindness;0.06;No;11/27/2020 3:46:17 PM
Change Blindness;0;No;11/27/2020 3:46:22 PM
Change Blindness;0.12;No;11/27/2020 3:46:28 PM
Change Blindness;0.12;Yes;11/27/2020 3:46:35 PM
Change Blindness;0.09000003;Yes;11/27/2020 3:46:41 PM
Change Blindness;0.02999997;No;11/27/2020 3:46:48 PM
Change Blindness;0.09;No;11/27/2020 3:46:53 PM
Change Blindness;0;Yes;11/27/2020 3:47:01 PM
Change Blindness;0.08999997;No;11/27/2020 3:47:06 PM
Change Blindness;0.09000002;No;11/27/2020 3:47:13 PM
Change Blindness;0.03;No;11/27/2020 3:47:19 PM
Change Blindness;0.06;Yes;11/27/2020 3:47:26 PM
Change Blindness;0;No;11/27/2020 3:47:32 PM
Change Blindness;0.05999997;No;11/27/2020 3:47:37 PM
Change Blindness;0.15;No;11/27/2020 3:47:42 PM
Change Blindness;0.03000002;No;11/27/2020 3:47:49 PM
